Show,EpId,ClipId,Start,Stop,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,target_label,vote_count,EpId_clean,ClipId_clean,audio_path
StutterTalk,63,50,17007680,17055680,True,Chaya Goldstein,0.5578046441078186,train,dev,dev,train,0,0,0,2,3,0,0,0,0,0,0,0,Block,2.0,63,50,../SEP-28k_CLIP/StutterTalk/63/StutterTalk_63_50.wav
HeStutters,22,37,6582720,6630720,True,Pamela Mertz,0.5811954140663147,,train,test,test,0,0,0,1,0,2,0,0,1,1,0,0,WordRep,2.0,22,37,../SEP-28k_CLIP/HeStutters/22/HeStutters_22_37.wav
StutterTalk,72,16,25188640,25236640,True,Reuben Schuff,0.5773088335990906,train,test,train,dev,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,3.0,72,16,../SEP-28k_CLIP/StutterTalk/72/StutterTalk_72_16.wav
StutteringIsCool,20,36,40421280,40469280,True,Daniele Rossi,0.6557836532592773,,train,test,test,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,3.0,20,36,../SEP-28k_CLIP/StutteringIsCool/20/StutteringIsCool_20_36.wav
HeStutters,16,193,39486400,39534400,True,Pamela Mertz,0.4784579873085022,,train,test,test,0,0,1,1,3,0,0,2,0,0,0,0,SoundRep,3.0,16,193,../SEP-28k_CLIP/HeStutters/16/HeStutters_16_193.wav
WomenWhoStutter,41,4,29900320,29948320,True,Pamela Mertz,0.2776989340782165,,train,test,test,0,0,2,0,0,0,0,0,1,0,0,0,Prolongation,2.0,41,4,../SEP-28k_CLIP/WomenWhoStutter/41/WomenWhoStutter_41_4.wav
StutterTalk,64,195,20624160,20672160,True,Reuben Schuff,0.5924227833747864,train,test,train,dev,0,0,0,0,0,3,0,3,0,1,0,0,WordRep,3.0,64,195,../SEP-28k_CLIP/StutterTalk/64/StutterTalk_64_195.wav
StutteringIsCool,43,2,35348160,35396160,True,Daniele Rossi,0.4358533918857574,,train,test,test,0,0,3,0,0,0,0,0,0,0,0,0,Prolongation,3.0,43,2,../SEP-28k_CLIP/StutteringIsCool/43/StutteringIsCool_43_2.wav
WomenWhoStutter,83,26,18565760,18613760,True,Pamela Mertz,0.5932685732841492,,train,test,test,0,0,0,1,2,0,0,3,1,2,0,0,SoundRep,2.0,83,26,../SEP-28k_CLIP/WomenWhoStutter/83/WomenWhoStutter_83_26.wav
StrongVoices,10,158,2823040,2871040,False,StrongVoices_10_0,0.6734821200370789,train,test,train,dev,0,0,3,1,0,0,0,1,0,0,0,0,Prolongation,3.0,10,158,../SEP-28k_CLIP/StrongVoices/10/StrongVoices_10_158.wav
IStutterSoWhat,2,106,8491040,8539040,False,IStutterSoWhat_2_1,0.4231485426425934,train,dev,dev,train,0,0,0,1,2,0,0,1,1,0,0,0,SoundRep,2.0,2,106,../SEP-28k_CLIP/IStutterSoWhat/2/IStutterSoWhat_2_106.wav
HeStutters,23,120,22561760,22609760,True,Pamela Mertz,0.4316786825656891,,train,test,test,0,0,1,2,0,0,0,3,1,2,0,0,Block,2.0,23,120,../SEP-28k_CLIP/HeStutters/23/HeStutters_23_120.wav
StutterTalk,8,77,1698720,1746720,False,StutterTalk_8_1,0.5118294954299927,train,dev,dev,train,0,0,0,2,0,0,1,0,1,2,0,0,Block,2.0,8,77,../SEP-28k_CLIP/StutterTalk/8/StutterTalk_8_77.wav
WomenWhoStutter,13,13,36523360,36571360,True,Pamela Mertz,0.4629756212234497,,train,test,test,0,1,0,0,2,0,0,0,1,0,0,0,SoundRep,2.0,13,13,../SEP-28k_CLIP/WomenWhoStutter/13/WomenWhoStutter_13_13.wav
WomenWhoStutter,69,32,32728640,32776640,True,Pamela Mertz,0.5139779448509216,,train,test,test,0,0,0,0,0,3,0,0,0,0,0,0,WordRep,3.0,69,32,../SEP-28k_CLIP/WomenWhoStutter/69/WomenWhoStutter_69_32.wav
HeStutters,18,13,39223680,39271680,True,Pamela Mertz,0.5158471465110779,,train,test,test,0,0,0,1,3,1,0,2,0,1,0,0,SoundRep,3.0,18,13,../SEP-28k_CLIP/HeStutters/18/HeStutters_18_13.wav
WomenWhoStutter,50,257,32861120,32909120,True,Pamela Mertz,0.4782628118991852,,train,test,test,0,1,3,0,1,0,0,0,0,0,0,0,Prolongation,3.0,50,257,../SEP-28k_CLIP/WomenWhoStutter/50/WomenWhoStutter_50_257.wav
StutterTalk,25,38,13344320,13392320,True,Peter Reitzes,0.5734161734580994,,train,test,test,0,0,0,0,0,3,0,0,0,1,0,0,WordRep,3.0,25,38,../SEP-28k_CLIP/StutterTalk/25/StutterTalk_25_38.wav
StutterTalk,0,22,1540320,1588320,False,StutterTalk_0_1,0.1017547398805618,train,dev,dev,train,0,0,2,2,0,0,0,0,0,0,0,0,Prolongation,2.0,0,22,../SEP-28k_CLIP/StutterTalk/0/StutterTalk_0_22.wav
WomenWhoStutter,0,144,5149280,5197280,True,Pamela Mertz,0.528968334197998,,train,test,test,0,0,2,1,0,0,0,0,0,0,0,0,Prolongation,2.0,0,144,../SEP-28k_CLIP/WomenWhoStutter/0/WomenWhoStutter_0_144.wav
StrongVoices,32,145,34115520,34163520,False,StrongVoices_32_2,0.7894194722175598,train,dev,dev,train,0,0,0,2,0,0,0,0,1,0,0,0,Block,2.0,32,145,../SEP-28k_CLIP/StrongVoices/32/StrongVoices_32_145.wav
HVSA,3,121,32975200,33023200,False,HVSA_3_1,0.4681093692779541,train,dev,dev,train,0,0,1,2,0,1,0,2,1,0,0,0,Block,2.0,3,121,../SEP-28k_CLIP/HVSA/3/HVSA_3_121.wav
WomenWhoStutter,78,1,7938080,7986080,True,Pamela Mertz,0.2171720564365387,,train,test,test,0,0,3,0,0,0,1,0,0,0,0,0,Prolongation,3.0,78,1,../SEP-28k_CLIP/WomenWhoStutter/78/WomenWhoStutter_78_1.wav
StutteringIsCool,55,15,18276640,18324640,True,Daniele Rossi,0.4426012635231018,,train,test,test,0,0,0,0,0,0,1,3,3,0,0,0,Interjection,3.0,55,15,../SEP-28k_CLIP/StutteringIsCool/55/StutteringIsCool_55_15.wav
WomenWhoStutter,75,29,31596160,31644160,True,Pamela Mertz,0.4651498794555664,,train,test,test,0,0,0,2,0,1,0,0,0,0,0,0,Block,2.0,75,29,../SEP-28k_CLIP/WomenWhoStutter/75/WomenWhoStutter_75_29.wav
WomenWhoStutter,69,9,14101600,14149600,True,Pamela Mertz,0.380702942609787,,train,test,test,0,0,0,0,2,1,0,0,0,0,0,0,SoundRep,2.0,69,9,../SEP-28k_CLIP/WomenWhoStutter/69/WomenWhoStutter_69_9.wav
StutterTalk,47,23,15468800,15516800,True,Peter Reitzes,0.620408833026886,,train,test,test,0,0,0,1,0,3,0,0,0,1,0,0,WordRep,3.0,47,23,../SEP-28k_CLIP/StutterTalk/47/StutterTalk_47_23.wav
WomenWhoStutter,85,28,12852000,12900000,False,WomenWhoStutter_85_0,0.2064378261566162,train,dev,dev,train,0,0,1,0,0,1,0,3,1,0,0,0,Interjection,3.0,85,28,../SEP-28k_CLIP/WomenWhoStutter/85/WomenWhoStutter_85_28.wav
HVSA,0,57,3011840,3059840,True,TJ Travor,,train,test,train,dev,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,3.0,0,57,../SEP-28k_CLIP/HVSA/0/HVSA_0_57.wav
StutterTalk,6,22,59188000,59236000,True,Peter Reitzes,0.6086158752441406,,train,test,test,0,0,1,0,0,0,0,3,2,0,0,0,Interjection,3.0,6,22,../SEP-28k_CLIP/StutterTalk/6/StutterTalk_6_22.wav
WomenWhoStutter,50,395,7576480,7624480,False,WomenWhoStutter_50_0,0.0673096925020217,train,dev,dev,train,0,0,3,0,0,0,0,0,0,0,0,0,Prolongation,3.0,50,395,../SEP-28k_CLIP/WomenWhoStutter/50/WomenWhoStutter_50_395.wav
StutterTalk,6,78,20567680,20615680,True,Peter Reitzes,0.5847066044807434,,train,test,test,0,0,0,1,2,1,0,0,0,0,0,0,SoundRep,2.0,6,78,../SEP-28k_CLIP/StutterTalk/6/StutterTalk_6_78.wav
StutterTalk,72,46,4825600,4873600,False,StutterTalk_72_1,0.5781094431877136,train,dev,dev,train,0,0,1,1,1,2,0,2,0,0,0,0,WordRep,2.0,72,46,../SEP-28k_CLIP/StutterTalk/72/StutterTalk_72_46.wav
WomenWhoStutter,14,12,29774880,29822880,True,Pamela Mertz,0.6341402530670166,,train,test,test,0,0,2,1,0,0,0,0,0,0,0,0,Prolongation,2.0,14,12,../SEP-28k_CLIP/WomenWhoStutter/14/WomenWhoStutter_14_12.wav
HeStutters,15,40,6236480,6284480,True,Pamela Mertz,0.3634091019630432,,train,test,test,0,0,3,1,0,0,0,0,0,0,0,0,Prolongation,3.0,15,40,../SEP-28k_CLIP/HeStutters/15/HeStutters_15_40.wav
WomenWhoStutter,87,116,19639520,19687520,False,WomenWhoStutter_87_1,0.6867678165435791,train,test,train,dev,0,0,0,1,0,3,0,1,0,1,0,0,WordRep,3.0,87,116,../SEP-28k_CLIP/WomenWhoStutter/87/WomenWhoStutter_87_116.wav
WomenWhoStutter,103,177,46477920,46525920,True,Pamela Mertz,0.5602569580078125,,train,test,test,0,0,0,2,0,0,0,0,1,1,0,1,Block,2.0,103,177,../SEP-28k_CLIP/WomenWhoStutter/103/WomenWhoStutter_103_177.wav
WomenWhoStutter,42,178,13978560,14026560,True,Pamela Mertz,0.3528992533683777,,train,test,test,0,0,2,0,2,0,0,0,0,0,0,0,Prolongation,2.0,42,178,../SEP-28k_CLIP/WomenWhoStutter/42/WomenWhoStutter_42_178.wav
HeStutters,12,10,27492960,27540960,False,HeStutters_12_1,0.7272992134094238,train,test,train,dev,0,0,0,0,0,1,0,3,2,0,0,0,Interjection,3.0,12,10,../SEP-28k_CLIP/HeStutters/12/HeStutters_12_10.wav
WomenWhoStutter,78,32,34743520,34791520,True,Pamela Mertz,0.5375758409500122,,train,test,test,0,0,0,0,0,3,0,2,0,0,0,0,WordRep,3.0,78,32,../SEP-28k_CLIP/WomenWhoStutter/78/WomenWhoStutter_78_32.wav
MyStutteringLife,38,5,17645920,17693920,True,Pedro Peña,0.5231428146362305,,train,test,test,0,0,0,1,0,0,0,3,2,0,0,0,Interjection,3.0,38,5,../SEP-28k_CLIP/MyStutteringLife/38/MyStutteringLife_38_5.wav
WomenWhoStutter,14,113,2213920,2261920,False,WomenWhoStutter_14_1,0.8000360727310181,train,test,train,dev,0,0,0,0,0,3,0,3,0,1,0,0,WordRep,3.0,14,113,../SEP-28k_CLIP/WomenWhoStutter/14/WomenWhoStutter_14_113.wav
StutterTalk,63,22,11386400,11434400,True,Chaya Goldstein,0.498649924993515,train,dev,dev,train,0,0,2,3,0,0,1,0,0,0,0,0,Prolongation,2.0,63,22,../SEP-28k_CLIP/StutterTalk/63/StutterTalk_63_22.wav
StutterTalk,68,176,8412640,8460640,True,Chaya Goldstein,0.1382071673870086,train,dev,dev,train,0,0,3,0,0,0,0,3,0,0,0,0,Prolongation,3.0,68,176,../SEP-28k_CLIP/StutterTalk/68/StutterTalk_68_176.wav
StutteringIsCool,16,15,12974720,13022720,True,Daniele Rossi,0.5263296365737915,,train,test,test,0,0,0,0,0,0,0,3,3,2,0,0,Interjection,3.0,16,15,../SEP-28k_CLIP/StutteringIsCool/16/StutteringIsCool_16_15.wav
StutteringIsCool,44,35,4452160,4500160,True,Daniele Rossi,0.2215020805597305,,train,test,test,0,0,1,1,1,0,0,3,0,1,0,0,Interjection,3.0,44,35,../SEP-28k_CLIP/StutteringIsCool/44/StutteringIsCool_44_35.wav
WomenWhoStutter,106,0,19192480,19240480,True,Pamela Mertz,,,train,test,test,0,0,0,0,3,0,0,1,0,0,0,0,SoundRep,3.0,106,0,../SEP-28k_CLIP/WomenWhoStutter/106/WomenWhoStutter_106_0.wav
StutteringIsCool,57,38,14800800,14848800,True,Daniele Rossi,0.4898267090320587,,train,test,test,0,1,2,0,0,0,0,0,1,0,0,0,Prolongation,2.0,57,38,../SEP-28k_CLIP/StutteringIsCool/57/StutteringIsCool_57_38.wav
StutterTalk,72,159,21258880,21306880,False,StutterTalk_72_1,0.5246351957321167,train,dev,dev,train,0,0,0,0,0,3,0,1,0,2,0,0,WordRep,3.0,72,159,../SEP-28k_CLIP/StutterTalk/72/StutterTalk_72_159.wav
WomenWhoStutter,42,95,40649920,40697920,True,Pamela Mertz,0.5257672667503357,,train,test,test,0,0,0,1,0,0,0,3,2,1,0,0,Interjection,3.0,42,95,../SEP-28k_CLIP/WomenWhoStutter/42/WomenWhoStutter_42_95.wav
HeStutters,11,178,30343840,30391840,True,Pamela Mertz,0.5425161123275757,,train,test,test,0,0,0,0,0,3,0,3,0,0,0,0,WordRep,3.0,11,178,../SEP-28k_CLIP/HeStutters/11/HeStutters_11_178.wav
HeStutters,12,188,21879520,21927520,True,Pamela Mertz,0.0806466788053512,,train,test,test,0,0,3,1,0,0,1,1,0,0,0,0,Prolongation,3.0,12,188,../SEP-28k_CLIP/HeStutters/12/HeStutters_12_188.wav
WomenWhoStutter,30,84,8421440,8469440,True,Pamela Mertz,0.5459907650947571,,train,test,test,0,0,2,1,0,1,0,1,0,1,0,0,Prolongation,2.0,30,84,../SEP-28k_CLIP/WomenWhoStutter/30/WomenWhoStutter_30_84.wav
HeStutters,6,206,12688000,12736000,False,HeStutters_6_1,0.7831103205680847,train,dev,dev,train,0,0,3,0,0,0,0,0,0,0,0,0,Prolongation,3.0,6,206,../SEP-28k_CLIP/HeStutters/6/HeStutters_6_206.wav
StrongVoices,8,19,38482080,38530080,False,StrongVoices_8_2,0.1064088642597198,train,test,train,dev,0,0,2,0,0,0,0,0,1,0,0,0,Prolongation,2.0,8,19,../SEP-28k_CLIP/StrongVoices/8/StrongVoices_8_19.wav
StrongVoices,6,86,12892160,12940160,False,StrongVoices_6_2,0.8056138753890991,train,test,train,dev,0,0,0,2,0,0,0,0,1,0,0,0,Block,2.0,6,86,../SEP-28k_CLIP/StrongVoices/6/StrongVoices_6_86.wav
StrongVoices,19,34,22101760,22149760,False,StrongVoices_19_1,0.1016003713011741,train,test,train,dev,0,0,0,2,0,0,1,0,1,0,0,0,Block,2.0,19,34,../SEP-28k_CLIP/StrongVoices/19/StrongVoices_19_34.wav
StutterTalk,34,13,13357600,13405600,False,StutterTalk_34_2,0.3564150333404541,train,dev,dev,train,0,0,1,0,2,0,1,1,0,1,0,0,SoundRep,2.0,34,13,../SEP-28k_CLIP/StutterTalk/34/StutterTalk_34_13.wav
HeStutters,2,215,2529600,2577600,False,HeStutters_2_1,0.7204026579856873,train,test,train,dev,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,3.0,2,215,../SEP-28k_CLIP/HeStutters/2/HeStutters_2_215.wav
StutteringIsCool,66,18,19138240,19186240,False,StutteringIsCool_66_2,0.596619725227356,train,dev,dev,train,0,0,2,0,0,0,0,2,1,0,0,0,Prolongation,2.0,66,18,../SEP-28k_CLIP/StutteringIsCool/66/StutteringIsCool_66_18.wav
WomenWhoStutter,88,52,7454240,7502240,False,WomenWhoStutter_88_1,0.186823695898056,train,dev,dev,train,0,0,1,0,0,2,0,0,0,0,0,0,WordRep,2.0,88,52,../SEP-28k_CLIP/WomenWhoStutter/88/WomenWhoStutter_88_52.wav
HeStutters,2,140,17306080,17354080,False,HeStutters_2_1,0.5440620183944702,train,test,train,dev,0,1,1,1,2,0,0,0,1,0,0,0,SoundRep,2.0,2,140,../SEP-28k_CLIP/HeStutters/2/HeStutters_2_140.wav
StutterTalk,37,113,8398880,8446880,False,StutterTalk_37_1,0.5790149569511414,train,test,train,dev,0,0,3,0,0,0,0,1,0,0,0,0,Prolongation,3.0,37,113,../SEP-28k_CLIP/StutterTalk/37/StutterTalk_37_113.wav
WomenWhoStutter,58,17,15178720,15226720,True,Pamela Mertz,0.4028584659099579,,train,test,test,0,0,0,2,0,0,0,0,1,1,0,0,Block,2.0,58,17,../SEP-28k_CLIP/WomenWhoStutter/58/WomenWhoStutter_58_17.wav
MyStutteringLife,35,3,60963200,61011200,True,Pedro Peña,,,train,test,test,0,0,3,0,0,0,2,0,0,0,0,0,Prolongation,3.0,35,3,../SEP-28k_CLIP/MyStutteringLife/35/MyStutteringLife_35_3.wav
HeStutters,6,97,39180000,39228000,True,Pamela Mertz,0.3842179775238037,,train,test,test,0,0,3,0,0,0,0,3,1,0,0,0,Prolongation,3.0,6,97,../SEP-28k_CLIP/HeStutters/6/HeStutters_6_97.wav
StutteringIsCool,0,16,3152800,3200800,True,Daniele Rossi,,,train,test,test,0,0,0,0,3,1,0,1,0,1,0,0,SoundRep,3.0,0,16,../SEP-28k_CLIP/StutteringIsCool/0/StutteringIsCool_0_16.wav
MyStutteringLife,28,34,861760,909760,True,Pedro Peña,,,train,test,test,0,0,2,0,0,0,1,0,1,0,0,0,Prolongation,2.0,28,34,../SEP-28k_CLIP/MyStutteringLife/28/MyStutteringLife_28_34.wav
HeStutters,19,149,39839040,39887040,True,Pamela Mertz,0.5325436592102051,,train,test,test,0,0,0,1,0,0,0,3,2,0,0,0,Interjection,3.0,19,149,../SEP-28k_CLIP/HeStutters/19/HeStutters_19_149.wav
HeStutters,6,42,31289920,31337920,True,Pamela Mertz,0.5205140113830566,,train,test,test,0,0,0,0,2,2,0,0,0,0,0,0,SoundRep,2.0,6,42,../SEP-28k_CLIP/HeStutters/6/HeStutters_6_42.wav
HeStutters,13,33,5072320,5120320,True,Pamela Mertz,0.4982451200485229,,train,test,test,0,0,1,0,2,0,0,0,0,0,0,0,SoundRep,2.0,13,33,../SEP-28k_CLIP/HeStutters/13/HeStutters_13_33.wav
MyStutteringLife,35,207,59348320,59396320,True,Pedro Peña,,,train,test,test,0,0,0,2,0,1,0,3,1,1,0,0,Block,2.0,35,207,../SEP-28k_CLIP/MyStutteringLife/35/MyStutteringLife_35_207.wav
HeStutters,22,101,21334400,21382400,False,HeStutters_22_1,0.7508373260498047,train,dev,dev,train,0,0,0,0,1,3,0,0,0,0,0,0,WordRep,3.0,22,101,../SEP-28k_CLIP/HeStutters/22/HeStutters_22_101.wav
WomenWhoStutter,10,21,3059360,3107360,True,Pamela Mertz,0.6440499424934387,,train,test,test,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,3.0,10,21,../SEP-28k_CLIP/WomenWhoStutter/10/WomenWhoStutter_10_21.wav
StutteringIsCool,46,78,1347520,1395520,False,StutteringIsCool_46_1,0.7297220826148987,train,test,train,dev,0,0,0,1,0,0,0,3,2,2,0,0,Interjection,3.0,46,78,../SEP-28k_CLIP/StutteringIsCool/46/StutteringIsCool_46_78.wav
HeStutters,2,73,8043360,8091360,True,Pamela Mertz,0.4668821394443512,,train,test,test,0,1,0,1,0,3,0,0,0,0,0,0,WordRep,3.0,2,73,../SEP-28k_CLIP/HeStutters/2/HeStutters_2_73.wav
MyStutteringLife,22,37,24118400,24166400,True,Pedro Peña,0.4202410280704498,,train,test,test,0,0,2,0,0,0,0,0,1,0,0,0,Prolongation,2.0,22,37,../SEP-28k_CLIP/MyStutteringLife/22/MyStutteringLife_22_37.wav
WomenWhoStutter,2,144,26837920,26885920,False,WomenWhoStutter_2_0,0.2848078608512878,train,test,train,dev,0,0,1,0,0,0,0,3,2,1,0,0,Interjection,3.0,2,144,../SEP-28k_CLIP/WomenWhoStutter/2/WomenWhoStutter_2_144.wav
MyStutteringLife,16,30,52953760,53001760,False,MyStutteringLife_16_1,0.5043511390686035,train,test,train,dev,0,0,0,0,0,3,0,1,0,1,0,1,WordRep,3.0,16,30,../SEP-28k_CLIP/MyStutteringLife/16/MyStutteringLife_16_30.wav
WomenWhoStutter,20,27,23879200,23927200,True,Pamela Mertz,0.3768250644207001,,train,test,test,0,0,0,1,3,0,0,0,0,0,0,0,SoundRep,3.0,20,27,../SEP-28k_CLIP/WomenWhoStutter/20/WomenWhoStutter_20_27.wav
HeStutters,11,167,1075520,1123520,False,HeStutters_11_0,0.580608606338501,train,test,train,dev,0,0,3,2,2,0,0,3,0,0,0,0,Prolongation,3.0,11,167,../SEP-28k_CLIP/HeStutters/11/HeStutters_11_167.wav
WomenWhoStutter,56,107,19688960,19736960,False,WomenWhoStutter_56_1,0.3502226769924164,train,dev,dev,train,0,0,1,1,3,0,1,1,0,0,0,0,SoundRep,3.0,56,107,../SEP-28k_CLIP/WomenWhoStutter/56/WomenWhoStutter_56_107.wav
HeStutters,22,44,8617760,8665760,True,Pamela Mertz,0.5623778700828552,,train,test,test,0,0,0,0,3,1,0,0,0,0,0,0,SoundRep,3.0,22,44,../SEP-28k_CLIP/HeStutters/22/HeStutters_22_44.wav
StutteringIsCool,29,0,24888640,24936640,True,Daniele Rossi,0.5439745783805847,,train,test,test,0,0,0,0,0,3,0,0,0,1,0,0,WordRep,3.0,29,0,../SEP-28k_CLIP/StutteringIsCool/29/StutteringIsCool_29_0.wav
StutterTalk,43,92,25102400,25150400,True,Peter Reitzes,0.5603193640708923,,train,test,test,0,0,3,0,0,0,0,0,0,1,0,0,Prolongation,3.0,43,92,../SEP-28k_CLIP/StutterTalk/43/StutterTalk_43_92.wav
StrongVoices,25,37,1885120,1933120,False,StrongVoices_25_1,0.627311646938324,train,dev,dev,train,0,0,3,1,0,0,0,0,0,0,0,0,Prolongation,3.0,25,37,../SEP-28k_CLIP/StrongVoices/25/StrongVoices_25_37.wav
WomenWhoStutter,88,10,48512480,48560480,True,Pamela Mertz,0.554520845413208,,train,test,test,0,0,0,0,0,0,0,3,3,1,0,0,Interjection,3.0,88,10,../SEP-28k_CLIP/WomenWhoStutter/88/WomenWhoStutter_88_10.wav
StutterTalk,60,3,40355200,40403200,True,Chaya Goldstein,0.3460265100002289,train,dev,dev,train,0,0,2,1,0,0,0,2,0,1,0,0,Prolongation,2.0,60,3,../SEP-28k_CLIP/StutterTalk/60/StutterTalk_60_3.wav
HeStutters,19,113,30215840,30263840,True,Pamela Mertz,0.4256470501422882,,train,test,test,0,0,2,0,0,0,0,0,1,2,0,0,Prolongation,2.0,19,113,../SEP-28k_CLIP/HeStutters/19/HeStutters_19_113.wav
MyStutteringLife,32,72,3602560,3650560,True,Pedro Peña,,,train,test,test,0,0,0,1,2,0,0,0,0,0,0,0,SoundRep,2.0,32,72,../SEP-28k_CLIP/MyStutteringLife/32/MyStutteringLife_32_72.wav
StutterTalk,8,8,19991520,20039520,True,Reuben Schuff,0.6450843811035156,train,test,train,dev,0,0,0,0,1,0,0,3,2,0,0,0,Interjection,3.0,8,8,../SEP-28k_CLIP/StutterTalk/8/StutterTalk_8_8.wav
HeStutters,15,25,3586400,3634400,True,Pamela Mertz,0.243585005402565,,train,test,test,0,0,1,0,2,0,1,1,0,0,0,1,SoundRep,2.0,15,25,../SEP-28k_CLIP/HeStutters/15/HeStutters_15_25.wav
StutterTalk,63,125,31534240,31582240,True,Chaya Goldstein,0.4334104657173157,train,dev,dev,train,0,0,0,1,0,0,0,3,2,0,0,0,Interjection,3.0,63,125,../SEP-28k_CLIP/StutterTalk/63/StutterTalk_63_125.wav
StutterTalk,25,44,15197760,15245760,True,Peter Reitzes,0.5207161903381348,,train,test,test,0,0,0,1,0,0,0,3,2,1,0,0,Interjection,3.0,25,44,../SEP-28k_CLIP/StutterTalk/25/StutterTalk_25_44.wav
WomenWhoStutter,19,43,3779680,3827680,True,Pamela Mertz,0.3315182030200958,,train,test,test,0,0,1,0,3,0,0,1,0,0,0,0,SoundRep,3.0,19,43,../SEP-28k_CLIP/WomenWhoStutter/19/WomenWhoStutter_19_43.wav
WomenWhoStutter,27,12,17009440,17057440,True,Pamela Mertz,0.5639255046844482,,train,test,test,0,0,0,1,1,2,0,0,0,0,0,0,WordRep,2.0,27,12,../SEP-28k_CLIP/WomenWhoStutter/27/WomenWhoStutter_27_12.wav
HeStutters,15,63,7945920,7993920,False,HeStutters_15_1,0.5311633348464966,train,dev,dev,train,0,0,0,1,0,3,0,1,0,0,0,0,WordRep,3.0,15,63,../SEP-28k_CLIP/HeStutters/15/HeStutters_15_63.wav
StutterTalk,66,8,7198880,7246880,False,StutterTalk_66_4,0.1249957084655761,train,dev,dev,train,0,0,0,0,0,0,0,3,3,0,0,0,Interjection,3.0,66,8,../SEP-28k_CLIP/StutterTalk/66/StutterTalk_66_8.wav
HeStutters,21,62,9484960,9532960,True,Pamela Mertz,0.6670970320701599,,train,test,test,0,0,0,1,0,0,0,3,2,0,0,0,Interjection,3.0,21,62,../SEP-28k_CLIP/HeStutters/21/HeStutters_21_62.wav
WomenWhoStutter,101,114,927040,975040,False,WomenWhoStutter_101_1,0.5570572018623352,train,dev,dev,train,0,0,0,2,1,0,0,0,0,1,0,0,Block,2.0,101,114,../SEP-28k_CLIP/WomenWhoStutter/101/WomenWhoStutter_101_114.wav
StutteringIsCool,81,11,13774400,13822400,True,Daniele Rossi,0.5234277844429016,,train,test,test,0,0,0,1,0,1,0,3,2,1,0,1,Interjection,3.0,81,11,../SEP-28k_CLIP/StutteringIsCool/81/StutteringIsCool_81_11.wav
StutterTalk,3,19,51420800,51468800,False,StutterTalk_3_1,0.2096266448497772,train,test,train,dev,0,0,1,0,1,3,0,0,0,1,0,0,WordRep,3.0,3,19,../SEP-28k_CLIP/StutterTalk/3/StutterTalk_3_19.wav
WomenWhoStutter,21,28,36549600,36597600,False,WomenWhoStutter_21_1,0.743828535079956,train,test,train,dev,0,0,0,1,0,3,0,0,0,0,0,0,WordRep,3.0,21,28,../SEP-28k_CLIP/WomenWhoStutter/21/WomenWhoStutter_21_28.wav
StutterTalk,6,189,11114400,11162400,False,StutterTalk_6_0,0.6183326840400696,train,dev,dev,train,0,0,1,0,0,0,0,3,2,0,0,0,Interjection,3.0,6,189,../SEP-28k_CLIP/StutterTalk/6/StutterTalk_6_189.wav
WomenWhoStutter,34,156,20349600,20397600,True,Pamela Mertz,0.3817799389362335,,train,test,test,0,0,0,1,2,0,0,0,0,0,0,0,SoundRep,2.0,34,156,../SEP-28k_CLIP/WomenWhoStutter/34/WomenWhoStutter_34_156.wav
WomenWhoStutter,54,6,31200480,31248480,True,Pamela Mertz,0.1217692643404007,,train,test,test,0,0,3,0,0,0,1,0,0,0,0,0,Prolongation,3.0,54,6,../SEP-28k_CLIP/WomenWhoStutter/54/WomenWhoStutter_54_6.wav
WomenWhoStutter,14,61,9017760,9065760,True,Pamela Mertz,0.510474443435669,,train,test,test,0,0,1,2,0,0,1,0,1,0,0,0,Block,2.0,14,61,../SEP-28k_CLIP/WomenWhoStutter/14/WomenWhoStutter_14_61.wav
MyStutteringLife,12,21,23892320,23940320,True,Pedro Peña,0.5244128108024597,,train,test,test,0,0,0,1,0,3,0,0,0,1,0,0,WordRep,3.0,12,21,../SEP-28k_CLIP/MyStutteringLife/12/MyStutteringLife_12_21.wav
WomenWhoStutter,65,21,2246720,2294720,True,Pamela Mertz,0.4792447090148926,,train,test,test,0,0,2,0,0,0,0,3,1,1,0,0,Prolongation,2.0,65,21,../SEP-28k_CLIP/WomenWhoStutter/65/WomenWhoStutter_65_21.wav
StutteringIsCool,34,112,15259680,15307680,True,Daniele Rossi,0.2154387831687927,,train,test,test,0,0,1,0,2,0,0,3,1,0,0,0,SoundRep,2.0,34,112,../SEP-28k_CLIP/StutteringIsCool/34/StutteringIsCool_34_112.wav
HVSA,2,21,5363520,5411520,True,TJ Travor,0.6387327313423157,train,test,train,dev,0,0,0,0,0,0,1,3,3,0,0,0,Interjection,3.0,2,21,../SEP-28k_CLIP/HVSA/2/HVSA_2_21.wav
